2016-03-07 00:24:17.504 25251 LOG File descriptor limit: 65536 (H:65536), max_client_conn: 300, max fds possible: 510
2016-03-07 00:24:17.504 25251 LOG listening on 127.0.0.1:6543
2016-03-07 00:24:17.504 25251 LOG listening on unix:/tmp/.s.PGSQL.6543
2016-03-07 00:24:17.504 25251 LOG process up: pgbouncer 1.6.1, libevent 2.0.16-stable (epoll), adns: evdns2
2016-03-07 00:24:19.122 25251 LOG Got SIGHUP re-reading config
2016-03-07 01:39:17.561 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:40:17.561 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:41:17.561 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:42:17.562 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:43:17.563 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:44:17.564 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:45:17.565 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:46:17.567 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:47:17.567 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:48:17.568 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:49:17.569 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:50:17.570 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:51:17.570 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:52:17.570 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:53:17.571 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:54:17.571 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:55:17.572 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:56:17.573 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:57:17.574 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:58:17.575 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:59:17.576 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:00:17.576 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:01:17.577 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:02:17.577 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
